symptoms,disease,home_medication,doctor_prescription
fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue headache body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold vomiting diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat cough cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold cough body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold cough fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea fatigue fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain fatigue runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain body pain vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea fatigue runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting nausea headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain diarrhea runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting runny nose fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever diarrhea runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain sore throat cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain headache fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea cold chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough nausea fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain body pain nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue fever vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat cough body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea runny nose nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting diarrhea sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain fatigue fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea fever cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose fever fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue body pain nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose nausea fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea vomiting headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea diarrhea headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose cough fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache cough cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue vomiting fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain chest pain nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea chest pain runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue runny nose headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea sore throat vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat cold chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting cold fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat nausea vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea chest pain cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough vomiting headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat fever vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose nausea cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain runny nose headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose diarrhea cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose body pain cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold fatigue runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cough headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough headache sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat vomiting fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea nausea cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold diarrhea headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever vomiting cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue cold fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea vomiting cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting chest pain cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat nausea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose cold fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea runny nose cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain vomiting cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea cough sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache diarrhea vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea chest pain diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea vomiting fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea nausea sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough sore throat body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea runny nose nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose cold fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough runny nose fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough sore throat nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea cough sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough sore throat fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache body pain runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea body pain cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea fatigue chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain diarrhea cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough cold vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever runny nose diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain fatigue diarrhea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain sore throat cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain chest pain nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea runny nose headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea vomiting fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting sore throat fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold headache fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea cough fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever cough body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose headache nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain sore throat fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain nausea headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea cough runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat runny nose headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea chest pain sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough headache fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain body pain headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
